user-id,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,Column110,Column111,Column112,Column113,Column114,Column115,Column116,Column117,Column118,Column119,Column120,Column121,Column122,Column123,Column124,Column125,Column126,Column127,Column128,Column129,Column130,Column131,Column132,Column133,Column134
151603712,Free to Play,RPG,Open World,FPS,Action,Fantasy,Post-apocalyptic,Simulation,Sandbox,Zombies,Co-op,Building,Multiplayer,Strategy,Story Rich,Massively Multiplayer,Exploration,Anime,Mature,Nudity,Hack and Slash,Action RPG,Physics,Adventure,Female Protagonist,Turn-Based,Bowling,Pixel Graphics,MOBA,Robots,Funny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59945701,Strategy,Fighting,2D Fighter,Action,RPG,RTS,Indie,FPS,Free to Play,Arcade,JRPG,Open World,World War II,Zombies,Co-op,Tower Defense,Great Soundtrack,Multiplayer,MOBA,Competitive,Linear,Fantasy,Turn-Based Strategy,Turn-Based,Crime,Detective,Early Access,Survival,Classic,Story Rich,Choices Matter,Shooter,Anime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53875128,Indie,Action,Open World,Platformer,Strategy,FPS,Simulation,RPG,Multiplayer,Adventure,Puzzle,Great Soundtrack,Stealth,Comedy,First-Person,Atmospheric,Sci-fi,Casual,Post-apocalyptic,Racing,Horror,Zombies,Co-op,Survival,Turn-Based,Rogue-like,Space,Anime,Exploration,Singleplayer,Tactical,Story Rich,Sandbox,Parkour,Pixel Graphics,Free to Play,Shooter,City Builder,Building,Turn-Based Strategy,Management,God Game,Fighting,2D Fighter,Classic,RTS,Rhythm,Sports,Detective,Funny,Military,Tower Defense,Physics,Arcade,JRPG,Difficult,Realistic,Soccer,Cyberpunk,Metroidvania,Hacking,Capitalism,Sniper,Local Multiplayer,Third-Person Shooter,Violent,Steampunk,Mining,Replay Value,Hack and Slash,Mystery,Short,Bowling,World War II,Naval,Crime,Top-Down Shooter,Robots,Music,Satire,Narration,Female Protagonist,Flight,Fast-Paced,Survival Horror,Rogue-lite,Procedural Generation,Relaxing,Walking Simulator,Shoot 'Em Up,Bullet Hell,Local Co-Op,Beat 'em up,Third Person,Early Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26122540,FPS,Multiplayer,Action,Free to Play,Co-op,RPG,Tower Defense,Zombies,World War II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197278511,Free to Play,MOBA,Strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150128162,Free to Play,MOBA,Strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197455089,FPS,Multiplayer,Free to Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63024728,Free to Play,MOBA,Strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297811211,Multiplayer,Open World,Survival,FPS,Free to Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76933274,Free to Play,Zombies,Survival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
