user-id,top_categories,most_played_publisher,most_played_platform,average_spending,favorite_tags
151603712,"Steam Achievements, Single-player, Steam Trading Cards",Valve,windows;mac;linux,9.167727273,"Free to Play, RPG, Open World, FPS, Action"
59945701,"Single-player, Steam Trading Cards, Steam Achievements",SEGA,windows,10.14636364,"Strategy, Fighting, 2D Fighter, Action, RPG"
53875128,"Single-player, Steam Achievements, Steam Cloud",Ubisoft,windows;mac;linux,10.85175676,"Indie, Action, Open World, Platformer, Strategy"
26122540,"Multi-player, Valve Anti-Cheat enabled, Steam Achievements",Valve,windows;mac;linux,12.39166667,"FPS, Multiplayer, Action, Free to Play, Co-op"
197278511,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
150128162,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
197455089,"Multi-player, Cross-Platform Multiplayer, Steam Achievements",Valve,windows;mac;linux,0,"FPS, Multiplayer, Free to Play"
63024728,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
297811211,"Valve Anti-Cheat enabled, Steam Achievements, Steam Workshop",Studio Wildcard,windows;mac;linux,22.495,"Multiplayer, Open World, Survival, FPS, Free to Play"
76933274,"Single-player, Online Multi-Player, Online Co-op",Smartly Dressed Games,windows;mac;linux,0,"Free to Play, Zombies, Survival"
218323237,"Multi-player, Single-player, Co-op",Valve,windows;mac;linux,4.996666667,"Action, Free to Play, Co-op, MOBA, Strategy"
126340495,"Steam Achievements, Multi-player, Steam Trading Cards",Valve,windows;mac;linux,6.102857143,"Free to Play, Multiplayer, FPS, Action, MOBA"
194895541,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
159538705,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
208649703,"Multi-player, Steam Trading Cards, Steam Workshop",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy, FPS, Multiplayer"
195071563,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
254906420,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
247160953,"Multi-player, Cross-Platform Multiplayer, Steam Achievements",Valve,windows;mac;linux,0,"FPS, Multiplayer, Free to Play"
308653033,"Steam Trading Cards, Steam Workshop, In-App Purchases",Smartly Dressed Games,windows;mac;linux,0,"Free to Play, MOBA, Strategy, Zombies, Survival"
197902002,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
